name|folder|def|order|key|avatar|idle|walk|punch|kick|guard|hit
Giorno GER|Giorno_GER|Giorno_GER|3|giorno|mugen/giorno/idle_00_0_0.png|mugen/giorno/idle_00_0_0.png;mugen/giorno/idle_01_0_4.png;mugen/giorno/idle_02_0_1.png;mugen/giorno/idle_03_0_2.png;mugen/giorno/idle_04_0_3.png;mugen/giorno/idle_05_0_5.png;mugen/giorno/idle_06_0_6.png;mugen/giorno/idle_07_0_7.png;mugen/giorno/idle_08_0_0.png;mugen/giorno/idle_09_0_1.png;mugen/giorno/idle_10_0_2.png;mugen/giorno/idle_11_0_3.png|mugen/giorno/walk_00_20_2.png;mugen/giorno/walk_01_20_3.png;mugen/giorno/walk_02_20_4.png;mugen/giorno/walk_03_20_5.png;mugen/giorno/walk_04_20_6.png;mugen/giorno/walk_05_20_7.png;mugen/giorno/walk_06_20_0.png;mugen/giorno/walk_07_20_1.png|mugen/giorno/punch_00_200_0.png;mugen/giorno/punch_01_200_1.png;mugen/giorno/punch_02_200_2.png;mugen/giorno/punch_03_200_2.png;mugen/giorno/punch_04_200_3.png|mugen/giorno/kick_00_230_1.png;mugen/giorno/kick_01_230_2.png;mugen/giorno/kick_02_230_3.png;mugen/giorno/kick_03_230_4.png;mugen/giorno/kick_04_230_5.png;mugen/giorno/kick_05_230_6.png;mugen/giorno/kick_06_230_7.png;mugen/giorno/kick_07_230_8.png;mugen/giorno/kick_08_230_9.png;mugen/giorno/kick_09_230_10.png|mugen/giorno/guard_00_180_0.png|mugen/giorno/hit_00_180_0.png;mugen/giorno/hit_01_180_1.png;mugen/giorno/hit_02_180_11.png;mugen/giorno/hit_03_180_12.png
Bruno Bucciarati|Bruno Bucciarati|Bruno Bucciarati|1||||||||
Mista|Mista|Mista|1|mista|||||||
Leone Abbacchio|Leone Abbacchio|Leone Abbacchio|1||||||||
Pannacotta Fugo|Pannacotta Fugo|Fugo|1||||||||
Narancia|Narancia|Narancia|1||||||||
Trish Una|Trish Una|Trish Una|1||||||||
PolnareffPart5|PolnareffPart5|PolnareffPart5|1|polnareff|mugen/polnareff/idle_00_0_0.png|mugen/polnareff/idle_00_0_0.png;mugen/polnareff/idle_01_0_1.png;mugen/polnareff/idle_02_0_2.png;mugen/polnareff/idle_03_0_1.png;mugen/polnareff/idle_04_0_0.png|mugen/polnareff/walk_00_20_0.png;mugen/polnareff/walk_01_20_1.png;mugen/polnareff/walk_02_20_2.png;mugen/polnareff/walk_03_20_3.png;mugen/polnareff/walk_04_20_4.png;mugen/polnareff/walk_05_20_5.png;mugen/polnareff/walk_06_20_6.png;mugen/polnareff/walk_07_20_7.png|mugen/polnareff/punch_00_200_0.png;mugen/polnareff/punch_01_200_1.png;mugen/polnareff/punch_02_200_2.png;mugen/polnareff/punch_03_200_3.png|mugen/polnareff/kick_00_230_1.png;mugen/polnareff/kick_01_230_2.png;mugen/polnareff/kick_02_230_3.png;mugen/polnareff/kick_03_230_4.png;mugen/polnareff/kick_04_230_5.png;mugen/polnareff/kick_05_230_6.png;mugen/polnareff/kick_06_230_7.png;mugen/polnareff/kick_07_230_8.png;mugen/polnareff/kick_08_230_9.png;mugen/polnareff/kick_09_230_10.png|mugen/polnareff/idle_00_0_0.png;mugen/polnareff/idle_01_0_1.png;mugen/polnareff/idle_02_0_2.png;mugen/polnareff/idle_03_0_1.png;mugen/polnareff/idle_04_0_0.png|mugen/polnareff/hit_00_0_0.png;mugen/polnareff/hit_01_0_3.png;mugen/polnareff/hit_02_0_4.png
Risotto|Risotto|Risotto|1||||||||
Cioccolata|Cioccolata|Cioccolata|1||||||||
Secco|Secco|Secco|1||||||||
Prosciutto|Prosciutto|Prosciutto|1||||||||
Pesci|Pesci|Pesci|1||||||||
Ghiaccio|Ghiaccio|Ghiaccio|1||||||||
Melone|Melone|Melone|1||||||||
Diavolo|Diavolo|Diavolo|2||||||||
Diavolo Requiem|Diavolo Requiem|Diavolo Requiem|3||||||||
JotaroPart6|JotaroPart6|JotaroPart6|1|jotaro|mugen/jotaro/idle_00_0_0.png|mugen/jotaro/idle_00_0_0.png;mugen/jotaro/idle_01_0_1.png;mugen/jotaro/idle_02_0_2.png;mugen/jotaro/idle_03_0_3.png;mugen/jotaro/idle_04_0_4.png;mugen/jotaro/idle_05_0_5.png|mugen/jotaro/walk_00_20_0.png;mugen/jotaro/walk_01_20_1.png;mugen/jotaro/walk_02_20_2.png;mugen/jotaro/walk_03_20_3.png;mugen/jotaro/walk_04_20_4.png;mugen/jotaro/walk_05_20_5.png;mugen/jotaro/walk_06_20_6.png;mugen/jotaro/walk_07_20_7.png|mugen/jotaro/punch_00_200_0.png;mugen/jotaro/punch_01_200_1.png;mugen/jotaro/punch_02_200_2.png;mugen/jotaro/punch_03_200_2.png;mugen/jotaro/punch_04_200_3.png|mugen/jotaro/idle_00_0_0.png;mugen/jotaro/idle_01_0_1.png;mugen/jotaro/idle_02_0_2.png;mugen/jotaro/idle_03_0_3.png;mugen/jotaro/idle_04_0_4.png;mugen/jotaro/idle_05_0_5.png|mugen/jotaro/guard_00_120_1.png|mugen/jotaro/hit_00_0_8.png;mugen/jotaro/hit_01_0_9.png;mugen/jotaro/hit_02_0_10.png;mugen/jotaro/hit_03_0_11.png
JotaroPart6v2|JotaroPart6v2|JotaroPart6v2|1|jotaro|mugen/jotaro/idle_00_0_0.png|mugen/jotaro/idle_00_0_0.png;mugen/jotaro/idle_01_0_1.png;mugen/jotaro/idle_02_0_2.png;mugen/jotaro/idle_03_0_3.png;mugen/jotaro/idle_04_0_4.png;mugen/jotaro/idle_05_0_5.png|mugen/jotaro/walk_00_20_0.png;mugen/jotaro/walk_01_20_1.png;mugen/jotaro/walk_02_20_2.png;mugen/jotaro/walk_03_20_3.png;mugen/jotaro/walk_04_20_4.png;mugen/jotaro/walk_05_20_5.png;mugen/jotaro/walk_06_20_6.png;mugen/jotaro/walk_07_20_7.png|mugen/jotaro/punch_00_200_0.png;mugen/jotaro/punch_01_200_1.png;mugen/jotaro/punch_02_200_2.png;mugen/jotaro/punch_03_200_2.png;mugen/jotaro/punch_04_200_3.png|mugen/jotaro/idle_00_0_0.png;mugen/jotaro/idle_01_0_1.png;mugen/jotaro/idle_02_0_2.png;mugen/jotaro/idle_03_0_3.png;mugen/jotaro/idle_04_0_4.png;mugen/jotaro/idle_05_0_5.png|mugen/jotaro/guard_00_120_1.png|mugen/jotaro/hit_00_0_8.png;mugen/jotaro/hit_01_0_9.png;mugen/jotaro/hit_02_0_10.png;mugen/jotaro/hit_03_0_11.png
Jolyne|Jolyne|Jolyne|1|jolyne|||||||
Jolynev2|Jolynev2|Jolynev2|1|jolyne|||||||
Narciso Anasui|Narciso Anasui|Narciso Anasui|1||||||||
Hermes|Hermes|Hermes|1||||||||
Weather Report|Weather Report|Weather Report|1||||||||
Pucci|Pucci|Pucci|2|pucci|mugen/pucci/idle_00_420_0.png|mugen/pucci/idle_00_420_0.png;mugen/pucci/idle_01_420_1.png;mugen/pucci/idle_02_420_2.png;mugen/pucci/idle_03_420_3.png;mugen/pucci/idle_04_420_4.png;mugen/pucci/idle_05_420_5.png;mugen/pucci/idle_06_420_6.png;mugen/pucci/idle_07_420_7.png;mugen/pucci/idle_08_420_8.png;mugen/pucci/idle_09_420_9.png;mugen/pucci/idle_10_420_10.png;mugen/pucci/idle_11_420_11.png|mugen/pucci/walk_00_8805_13.png;mugen/pucci/walk_01_8805_24.png;mugen/pucci/walk_02_8805_35.png;mugen/pucci/walk_03_8805_46.png;mugen/pucci/walk_04_8805_57.png;mugen/pucci/walk_05_8805_68.png|mugen/pucci/punch_00_8805_128.png;mugen/pucci/punch_01_8805_129.png;mugen/pucci/punch_02_8805_131.png;mugen/pucci/punch_03_8805_132.png|mugen/pucci/kick_00_1051_1.png;mugen/pucci/kick_01_1051_2.png;mugen/pucci/kick_02_1051_3.png;mugen/pucci/kick_03_1051_4.png;mugen/pucci/kick_04_1051_5.png;mugen/pucci/kick_05_1051_6.png;mugen/pucci/kick_06_1051_7.png;mugen/pucci/kick_07_1051_8.png;mugen/pucci/kick_08_1051_9.png;mugen/pucci/kick_09_1051_10.png|mugen/pucci/guard_00_120_1.png|mugen/pucci/hit_00_8805_99.png;mugen/pucci/hit_01_8805_100.png
Pucciv2|Pucciv2|Pucciv2|3|pucci|mugen/pucci/idle_00_420_0.png|mugen/pucci/idle_00_420_0.png;mugen/pucci/idle_01_420_1.png;mugen/pucci/idle_02_420_2.png;mugen/pucci/idle_03_420_3.png;mugen/pucci/idle_04_420_4.png;mugen/pucci/idle_05_420_5.png;mugen/pucci/idle_06_420_6.png;mugen/pucci/idle_07_420_7.png;mugen/pucci/idle_08_420_8.png;mugen/pucci/idle_09_420_9.png;mugen/pucci/idle_10_420_10.png;mugen/pucci/idle_11_420_11.png|mugen/pucci/walk_00_8805_13.png;mugen/pucci/walk_01_8805_24.png;mugen/pucci/walk_02_8805_35.png;mugen/pucci/walk_03_8805_46.png;mugen/pucci/walk_04_8805_57.png;mugen/pucci/walk_05_8805_68.png|mugen/pucci/punch_00_8805_128.png;mugen/pucci/punch_01_8805_129.png;mugen/pucci/punch_02_8805_131.png;mugen/pucci/punch_03_8805_132.png|mugen/pucci/kick_00_1051_1.png;mugen/pucci/kick_01_1051_2.png;mugen/pucci/kick_02_1051_3.png;mugen/pucci/kick_03_1051_4.png;mugen/pucci/kick_04_1051_5.png;mugen/pucci/kick_05_1051_6.png;mugen/pucci/kick_06_1051_7.png;mugen/pucci/kick_07_1051_8.png;mugen/pucci/kick_08_1051_9.png;mugen/pucci/kick_09_1051_10.png|mugen/pucci/guard_00_120_1.png|mugen/pucci/hit_00_8805_99.png;mugen/pucci/hit_01_8805_100.png
Johnny Joestar|Johnny_Joestar|Johnny_Joestar|1||||||||
Gyro Zeppeli|Gyro Zeppeli|Gyro Zeppeli|1||||||||
Diego|Diego|Diego|1||||||||
Diego Brando AU|Diego Brando AU|Diego Brando AU|1||||||||
Diego Brando AU 3|Diego Brando AU 3|Diego Brando AU|1||||||||
Diego Brando AU 4|Diego Brando AU 4|Diego Brando AU|2||||||||
Funny Valentine|Funny_Valentine|Funny_Valentine|1||||||||
Funny Valentine 3|Funny_Valentine 3|Funny_Valentine|2||||||||
JosukeGappy|JosukeGappy|JosukeGappy|1||||||||
Yoshikage|Yoshikage|Yoshikage|1||||||||
SakuyaIzayoi|SakuyaIzayoi|SakuyaIzayoi|1||||||||
Sakuya|Sakuya|Sakuya|1||||||||
SakuyaIzayoi 1|SakuyaIzayoi 1|SakuyaIzayoi|1||||||||
The World|The World|The World|1||||||||
Star Platinum|Star Platinum|Star Platinum|1||||||||
Baoh|Baoh|Baoh|1||||||||
Tooru|Tooru|Tooru|1||||||||
